,title,hq,link
2257,Ross Stores,Dublin  California,//en.m.wikipedia.org/wiki/Ross_Stores
2258,Round Table Pizza,Atlanta  Georgia United States,//en.m.wikipedia.org/wiki/Round_Table_Pizza
2259,Rubio's Coastal Grill,Carlsbad  CA,//en.m.wikipedia.org/wiki/Rubio%27s_Coastal_Grill
2260,Safeway,Pleasanton  California Piggly Wiggly West Germany Roy Furr,//en.m.wikipedia.org/wiki/Safeway
2261,Saitek,Worldwide,//en.m.wikipedia.org/wiki/Saitek
2262,Salem Media Group,Riverside San Bernardino,//en.m.wikipedia.org/wiki/Salem_Media_Group
2263,Saleen,Portland Circuit de Spa-Francorchamps Sears Point Lime Rock ALMS Sebring ALMS Sebring ALMS Sebring Sears Point Lime Rock LMES Circuit de Spa-Francorchamps,//en.m.wikipedia.org/wiki/Saleen
2264,SanDisk,Milpitas California United States,//en.m.wikipedia.org/wiki/SanDisk
2265,San Jose Sharks,Milpitas California United States,//en.m.wikipedia.org/wiki/San_Jose_Sharks
2266,Samsung,Seocho District Seoul South Korea,//en.m.wikipedia.org/wiki/Samsung
2267,Save Mart Supermarkets,Modesto California U.S.,//en.m.wikipedia.org/wiki/Save_Mart_Supermarkets
2268,Sanmina Corporation,San Jose  California,//en.m.wikipedia.org/wiki/Sanmina_Corporation
2269,SAP Ariba,Palo Alto California U.S.,//en.m.wikipedia.org/wiki/SAP_Ariba
2270,Scion (automobile),Torrance  California,//en.m.wikipedia.org/wiki/Scion_(automobile)
2271,Scaled Composites,Mojave  California IAI Searcher AAI RQ-2 Pioneer UAV,//en.m.wikipedia.org/wiki/Scaled_Composites
2272,Scharffen Berger Chocolate Maker,Berkeley  California United States,//en.m.wikipedia.org/wiki/Scharffen_Berger_Chocolate_Maker
2273,Seagate Technology,Fremont  California Dublin,//en.m.wikipedia.org/wiki/Seagate_Technology
2274,SD Entertainment,21051 Warner Center Lane #250 Woodland Hills  CA 91367 United States,//en.m.wikipedia.org/wiki/SD_Entertainment
2275,Kidtoon Films,21051 Warner Center Lane #250 Woodland Hills  CA 91367 United States,//en.m.wikipedia.org/wiki/Kidtoon_Films
2276,Sempra,San Diego  California,//en.m.wikipedia.org/wiki/Sempra
2277,Sendio,Newport Beach  California,//en.m.wikipedia.org/wiki/Sendio
2278,See's Candies,South San Francisco  California,//en.m.wikipedia.org/wiki/See%27s_Candies
2279,ServiceNow,Santa Clara  California,//en.m.wikipedia.org/wiki/ServiceNow
2280,Sephora,Neuilly-sur-Seine,//en.m.wikipedia.org/wiki/Sephora
2281,Sequenom,San Diego  CA USA,//en.m.wikipedia.org/wiki/Sequenom
2282,Shubb,Valley Ford,//en.m.wikipedia.org/wiki/Shubb
2283,Shakey's Pizza,Alhambra  California Parañaque  Philippines,//en.m.wikipedia.org/wiki/Shakey%27s_Pizza
2284,Shea Homes,Walnut  California,//en.m.wikipedia.org/wiki/Shea_Homes
2285,Sole Technology,Lake Forest  California,//en.m.wikipedia.org/wiki/Sole_Technology
2286,Skechers,Manhattan Beach California,//en.m.wikipedia.org/wiki/Skechers
2287,Solar Turbines,San Diego  California United States,//en.m.wikipedia.org/wiki/Solar_Turbines
2288,SpaceDev,Poway  California,//en.m.wikipedia.org/wiki/SpaceDev
2289,Sony Pictures,10202 West Washington Boulevard Culver City California,//en.m.wikipedia.org/wiki/Sony_Pictures
2290,Souplantation,San Diego  California,//en.m.wikipedia.org/wiki/Souplantation
2291,SpeakerCraft,Petaluma  California,//en.m.wikipedia.org/wiki/SpeakerCraft
2292,The Spaceship Company,Mojave  California,//en.m.wikipedia.org/wiki/The_Spaceship_Company
2293,SpaceX,B1021 SES-10,//en.m.wikipedia.org/wiki/SpaceX
2294,Stone Brewing Co.,B1021 SES-10,//en.m.wikipedia.org/wiki/Stone_Brewing_Co.
2295,SSL (company),Palo Alto California,//en.m.wikipedia.org/wiki/SSL_(company)
2296,Stater Bros.,San Bernardino  California,//en.m.wikipedia.org/wiki/Stater_Bros.
2297,SureFire,Fountain Valley California U.S.,//en.m.wikipedia.org/wiki/SureFire
2298,Sun-Maid,Fresno  California,//en.m.wikipedia.org/wiki/Sun-Maid
2299,Sunsweet Growers,Yuba City  California United States,//en.m.wikipedia.org/wiki/Sunsweet_Growers
2300,Synaptics,San Jose,//en.m.wikipedia.org/wiki/Synaptics
2301,Surf Diva,San Jose,//en.m.wikipedia.org/wiki/Surf_Diva
2302,Sutter Health,Sacramento  California,//en.m.wikipedia.org/wiki/Sutter_Health
2303,Tastee-Freez,Newport Beach  California,//en.m.wikipedia.org/wiki/Tastee-Freez
2304,Tapatío hot sauce,Vernon  California U.S.,//en.m.wikipedia.org/wiki/Tapat%C3%ADo_hot_sauce
2305,Taco Bell,Irvine  California,//en.m.wikipedia.org/wiki/Taco_Bell
2306,Vantiva,Paris France,//en.m.wikipedia.org/wiki/Vantiva
2307,Taylor Guitars,El Cajon  California United States,//en.m.wikipedia.org/wiki/Taylor_Guitars
2308,TaylorMade,Carlsbad  California U.S.,//en.m.wikipedia.org/wiki/TaylorMade
2309,Thrasher (magazine),Carlsbad  California U.S.,//en.m.wikipedia.org/wiki/Thrasher_(magazine)
2310,Teledyne Technologies,Thousand Oaks  California,//en.m.wikipedia.org/wiki/Teledyne_Technologies
2311,"Tesla, Inc.",13101 Tesla Road,"//en.m.wikipedia.org/wiki/Tesla,_Inc."
2312,Togo's,San Jose California United States,//en.m.wikipedia.org/wiki/Togo%27s
2313,Ticketmaster,Beverly Hills  California,//en.m.wikipedia.org/wiki/Ticketmaster
2314,Toshiba,Beverly Hills  California,//en.m.wikipedia.org/wiki/Toshiba
2315,True Religion,Gardena  California U.S.,//en.m.wikipedia.org/wiki/True_Religion
2316,Trader Joe's,Monrovia  California,//en.m.wikipedia.org/wiki/Trader_Joe%27s
2317,Toyota,Toyota Levin Brazil Indonesia,//en.m.wikipedia.org/wiki/Toyota
2318,TYR Sport,Manuel  Simone,//en.m.wikipedia.org/wiki/TYR_Sport
2319,Undrest,Manuel  Simone,//en.m.wikipedia.org/wiki/Undrest
2320,UTStarcom,Beijing,//en.m.wikipedia.org/wiki/UTStarcom
2321,Twitter,Beijing,//en.m.wikipedia.org/wiki/Twitter
2322,Upper Deck Company,Boxing,//en.m.wikipedia.org/wiki/Upper_Deck_Company
2323,Vans,Costa Mesa  California,//en.m.wikipedia.org/wiki/Vans
2324,Veritas Technologies,Santa Clara California U.S.,//en.m.wikipedia.org/wiki/Veritas_Technologies
2325,Varian Medical Systems,Palo Alto  California,//en.m.wikipedia.org/wiki/Varian_Medical_Systems
2326,ViewSonic,Brea  California United States New Taipei City Taiwan,//en.m.wikipedia.org/wiki/ViewSonic
2327,Virgin Galactic,Mojave  California,//en.m.wikipedia.org/wiki/Virgin_Galactic
2328,Viasat (American company),Carlsbad  California  U.S.,//en.m.wikipedia.org/wiki/Viasat_(American_company)
2329,Universal Pictures,10 Universal City Plaza,//en.m.wikipedia.org/wiki/Universal_Pictures
2330,Vivid Entertainment,Los Angeles California U.S.,//en.m.wikipedia.org/wiki/Vivid_Entertainment
2331,Visa Inc.,One Market Plaza San Francisco  California,//en.m.wikipedia.org/wiki/Visa_Inc.
2332,Viz Media,San Francisco  California United States,//en.m.wikipedia.org/wiki/Viz_Media
2333,Volcom,Costa Mesa  CA,//en.m.wikipedia.org/wiki/Volcom
2334,VMware,Stanford Research Park Israel,//en.m.wikipedia.org/wiki/VMware
2335,Vons,Fullerton  California,//en.m.wikipedia.org/wiki/Vons
2336,Waymo,Mountain View  California,//en.m.wikipedia.org/wiki/Waymo
2337,WD-40 Company,San Diego  California,//en.m.wikipedia.org/wiki/WD-40_Company
2338,West Air (United States),Fresno  California,//en.m.wikipedia.org/wiki/West_Air_(United_States)
2339,WebAssist,San Diego California,/w/index.php?title=WebAssist&action=edit
2340,Warner Bros.,4000 Warner Blvd.,//en.m.wikipedia.org/wiki/Warner_Bros.
2341,Westamerica Bank,San Rafael  California U.S.,//en.m.wikipedia.org/wiki/Westamerica_Bank
2342,Western Mutual Insurance Group,Irvine  California U.S.,//en.m.wikipedia.org/wiki/Western_Mutual_Insurance_Group
2343,Western Digital,SanDisk NAND flash,//en.m.wikipedia.org/wiki/Western_Digital
2344,Wienerschnitzel,Irvine  California,//en.m.wikipedia.org/wiki/Wienerschnitzel
2345,Wetzel's Pretzels,Pasadena  California,//en.m.wikipedia.org/wiki/Wetzel%27s_Pretzels
2346,"Williams-Sonoma, Inc.",Van Ness Avenue San Francisco,"//en.m.wikipedia.org/wiki/Williams-Sonoma,_Inc."
2347,X (company),Mountain View  California United States,//en.m.wikipedia.org/wiki/X_(company)
2348,Winchell's Donuts,Industry  California,//en.m.wikipedia.org/wiki/Winchell%27s_Donuts
2349,Wolfgang Puck,Industry  California,//en.m.wikipedia.org/wiki/Wolfgang_Puck
2350,Yahoo!,Sunnyvale  California,//en.m.wikipedia.org/wiki/Yahoo!
2351,Xilinx,San Jose California,//en.m.wikipedia.org/wiki/Xilinx
2352,Cambium Networks,Rolling Meadows  Illinois,//en.m.wikipedia.org/wiki/Cambium_Networks
2353,You Bar,Rolling Meadows  Illinois,//en.m.wikipedia.org/wiki/You_Bar
2354,Yelp,350 Mission Street San Francisco  California,//en.m.wikipedia.org/wiki/Yelp
2355,YouTube,San Bruno  California English Irish,//en.m.wikipedia.org/wiki/YouTube
2356,Yum-Yum Donuts,City of Industry  California,//en.m.wikipedia.org/wiki/Yum-Yum_Donuts
2357,Zero Skateboards,Carlsbad  California,//en.m.wikipedia.org/wiki/Zero_Skateboards
2358,Zoom (software),Carlsbad  California,//en.m.wikipedia.org/wiki/Zoom_(software)
2359,K2 Sports,Seattle  Washington U.S.,//en.m.wikipedia.org/wiki/K2_Sports
2360,Aerojet,Rancho Cordova  California United States,//en.m.wikipedia.org/wiki/Aerojet
2361,Adaptec,Rancho Cordova  California United States,//en.m.wikipedia.org/wiki/Adaptec
2362,Allergan,Dublin Ireland,//en.m.wikipedia.org/wiki/Allergan
2363,Ameriflight,Dallas/Fort Worth Texas Piper PA-31 North Las Vegas Airport Sacramento Executive Airport,//en.m.wikipedia.org/wiki/Ameriflight
2364,Air California,Newport Beach  California,//en.m.wikipedia.org/wiki/Air_California
2365,Application Networks,Palo Alto  California United States,//en.m.wikipedia.org/wiki/Application_Networks
2366,Ameriquest Mortgage,Los Angeles California United States,//en.m.wikipedia.org/wiki/Ameriquest_Mortgage
2367,Safeway,Pleasanton  California Piggly Wiggly West Germany Roy Furr,//en.m.wikipedia.org/wiki/Safeway#Expansion
2368,Bank of California,Pleasanton  California Piggly Wiggly West Germany Roy Furr,//en.m.wikipedia.org/wiki/Bank_of_California
2369,TriGem,Santa Ana  California,//en.m.wikipedia.org/wiki/TriGem#Averatec
2370,Baja Fresh,Scottsdale,//en.m.wikipedia.org/wiki/Baja_Fresh
2371,BMW in the United States,Greer  South Carolina United States,//en.m.wikipedia.org/wiki/BMW_in_the_United_States
2372,Black Box Distribution,Carlsbad  California,//en.m.wikipedia.org/wiki/Black_Box_Distribution
2373,Bubba Gump Shrimp Company,Houston,//en.m.wikipedia.org/wiki/Bubba_Gump_Shrimp_Company
2374,Brio Technology,Houston,/w/index.php?title=Brio_Technology&action=edit
2375,Bechtel,Reston  Virginia Kuwait Oil Field Restoration Gulf War oil fields,//en.m.wikipedia.org/wiki/Bechtel
2376,Boeing Phantom Works,Washington D.C. United States,//en.m.wikipedia.org/wiki/Boeing_Phantom_Works
2377,Calpine,Calpine Center Houston  Texas U.S.,//en.m.wikipedia.org/wiki/Calpine
2378,Building Materials Holding Corporation,Raleigh  North Carolina,//en.m.wikipedia.org/wiki/Building_Materials_Holding_Corporation
2379,California Lawyer,Raleigh  North Carolina,//en.m.wikipedia.org/wiki/California_Lawyer
2380,Champion (spark plug),Raleigh  North Carolina,//en.m.wikipedia.org/wiki/Champion_(spark_plug)
2381,Carvin Corporation,United States of America,//en.m.wikipedia.org/wiki/Carvin_Corporation
2382,Caterpillar Inc.,Irving  Texas,//en.m.wikipedia.org/wiki/Caterpillar_Inc.
2383,Chiron Corporation,Emeryville  California,//en.m.wikipedia.org/wiki/Chiron_Corporation
2384,Carl's Jr.,Franklin  Tennessee,//en.m.wikipedia.org/wiki/Carl%27s_Jr.
2385,CKE Restaurants,Franklin Tennessee,//en.m.wikipedia.org/wiki/CKE_Restaurants
2386,CKE Restaurants,Franklin Tennessee,//en.m.wikipedia.org/wiki/CKE_Restaurants
2387,Coco's Bakery,Beaverton  Oregon,//en.m.wikipedia.org/wiki/Coco%27s_Bakery
2388,Conexant,Irvine California U.S.,//en.m.wikipedia.org/wiki/Conexant
2389,Computer Sciences Corporation,Tysons Corner  Virginia,//en.m.wikipedia.org/wiki/Computer_Sciences_Corporation
2390,Con-way,Ann Arbor Charter Township  Michigan,//en.m.wikipedia.org/wiki/Con-way
2391,ConSentry Networks,Ann Arbor Charter Township  Michigan,/w/index.php?title=ConSentry_Networks&action=edit
2392,Covad,San Jose  California,//en.m.wikipedia.org/wiki/Covad
2393,Costco,Onion,//en.m.wikipedia.org/wiki/Costco
2394,Cricket Wireless,Atlanta Georgia United States,//en.m.wikipedia.org/wiki/Cricket_Wireless
2395,Crowley Maritime,Jacksonville  Florida United States,//en.m.wikipedia.org/wiki/Crowley_Maritime
2396,Cunard Line,Southampton Norwegian Cruise Line Speightstown Barbados,//en.m.wikipedia.org/wiki/Cunard_Line
2397,E-Loan,New York  New York,//en.m.wikipedia.org/wiki/E-Loan
2398,Decillionix,Sunnyvale  California,//en.m.wikipedia.org/wiki/Decillionix
2399,DIC Entertainment,Burbank  California,//en.m.wikipedia.org/wiki/DIC_Entertainment
2400,Euphonix,Mountain View  CA United States,//en.m.wikipedia.org/wiki/Euphonix
2401,Fleetwood Enterprises,Decatur  Indiana,//en.m.wikipedia.org/wiki/Fleetwood_Enterprises
2402,Elephant Bar,Decatur  Indiana,//en.m.wikipedia.org/wiki/Elephant_Bar
2403,Fresh Choice,Emeryville  California,//en.m.wikipedia.org/wiki/Fresh_Choice
2404,Genencor,Palo Alto  California,//en.m.wikipedia.org/wiki/Genencor
2405,Frederick's of Hollywood,United States,//en.m.wikipedia.org/wiki/Frederick%27s_of_Hollywood
2406,Gottschalks,Fresno  California,//en.m.wikipedia.org/wiki/Gottschalks
2407,Golden West Financial,Oakland  California US,//en.m.wikipedia.org/wiki/Golden_West_Financial
2408,Good Earth Tea,Montvale  New Jersey,//en.m.wikipedia.org/wiki/Good_Earth_Tea
2409,Häagen-Dazs,Minneapolis  Minnesota,//en.m.wikipedia.org/wiki/H%C3%A4agen-Dazs
2410,Gulf Oil,Gulf Tower,//en.m.wikipedia.org/wiki/Gulf_Oil
2411,Gymboree,Gulf Tower,//en.m.wikipedia.org/wiki/Gymboree
2412,Harris Company,San Bernardino  California Palm Springs Mall Walker Scott Buffums,//en.m.wikipedia.org/wiki/Harris_Company
2413,Hilton Hotels & Resorts,McLean  Virginia,//en.m.wikipedia.org/wiki/Hilton_Hotels_%26_Resorts
2414,International Lease Finance Corporation,Constellation Place Los Angeles,//en.m.wikipedia.org/wiki/International_Lease_Finance_Corporation
2415,Thinkorswim,Constellation Place Los Angeles,//en.m.wikipedia.org/wiki/Thinkorswim
2416,Jacobs Solutions,Harwood Center Dallas  Texas,//en.m.wikipedia.org/wiki/Jacobs_Solutions
2417,Jamba Juice,Atlanta  GA United States,//en.m.wikipedia.org/wiki/Jamba_Juice
2418,Kerio Technologies,San Jose  California,//en.m.wikipedia.org/wiki/Kerio_Technologies
2419,Los Angeles Airways,Los Angeles  California,//en.m.wikipedia.org/wiki/Los_Angeles_Airways
2420,Lovecraft Biofuels,Los Angeles  California,//en.m.wikipedia.org/wiki/Lovecraft_Biofuels
2421,Longs Drugs,Woonsocket  Rhode Island,//en.m.wikipedia.org/wiki/Longs_Drugs
2422,LPL Financial,San Diego,//en.m.wikipedia.org/wiki/LPL_Financial
2423,LSI Corporation,San Jose  California,//en.m.wikipedia.org/wiki/LSI_Corporation
2424,Mad Catz,San Jose  California,//en.m.wikipedia.org/wiki/Mad_Catz
2425,Maxygen,Redwood City  CA,//en.m.wikipedia.org/wiki/Maxygen
2426,Mervyn's,Hayward  California,//en.m.wikipedia.org/wiki/Mervyn%27s
2427,Memorex,Hayward  California,//en.m.wikipedia.org/wiki/Memorex
2428,Metropolitan West Financial,Hayward  California,//en.m.wikipedia.org/wiki/Metropolitan_West_Financial
2429,National Semiconductor,Santa Clara  California West Jordan Salt Lake City Utah,//en.m.wikipedia.org/wiki/National_Semiconductor
2430,Miro Technologies,La Jolla CA Yeovil Somerset,//en.m.wikipedia.org/wiki/Miro_Technologies
2431,Navigenics,Waltham  Massachusetts  USA,//en.m.wikipedia.org/wiki/Navigenics
2432,Nationwide Asset Services,Phoenix  Arizona Sacramento  California,//en.m.wikipedia.org/wiki/Nationwide_Asset_Services
2433,NBCUniversal,30 Rockefeller Plaza,//en.m.wikipedia.org/wiki/NBCUniversal
2434,Novellus Systems,San Jose  California,//en.m.wikipedia.org/wiki/Novellus_Systems
2435,NUMMI,Fremont  California,//en.m.wikipedia.org/wiki/NUMMI
2436,Northrop Grumman,West Falls Church  Virginia,//en.m.wikipedia.org/wiki/Northrop_Grumman
2437,Occidental Petroleum,Houston  Texas,//en.m.wikipedia.org/wiki/Occidental_Petroleum
2438,Pacific Southwest Airlines,San Diego  California Douglas C-54 Skymaster NAMC YS-11A-202,//en.m.wikipedia.org/wiki/Pacific_Southwest_Airlines
2439,Pacer International,Dublin  Ohio,//en.m.wikipedia.org/wiki/Pacer_International
2440,Polar Air Cargo,Purchase  New York,//en.m.wikipedia.org/wiki/Polar_Air_Cargo
2441,"Palm, Inc.",Sunnyvale  California,"//en.m.wikipedia.org/wiki/Palm,_Inc."
2442,Houghton Mifflin Harcourt Learning Technology,Boston Dublin,//en.m.wikipedia.org/wiki/Houghton_Mifflin_Harcourt_Learning_Technology
2443,Science Applications International Corporation,Reston  Virginia,//en.m.wikipedia.org/wiki/Science_Applications_International_Corporation
2444,Sequoia Voting Systems,Reston  Virginia,//en.m.wikipedia.org/wiki/Sequoia_Voting_Systems
2445,Ryan Aeronautical,San Diego  California Ryan FR Fireball,//en.m.wikipedia.org/wiki/Ryan_Aeronautical
2446,The Sharper Image,Farmington Hills  Michigan,//en.m.wikipedia.org/wiki/The_Sharper_Image
2447,Gizmo5,Farmington Hills  Michigan,//en.m.wikipedia.org/wiki/Gizmo5
2448,Silicon Graphics,Sunnyvale California,//en.m.wikipedia.org/wiki/Silicon_Graphics
2449,Solectron,Sunnyvale California,//en.m.wikipedia.org/wiki/Solectron
2450,Sirna Therapeutics,Sunnyvale California,//en.m.wikipedia.org/wiki/Sirna_Therapeutics
2451,Mattress Firm,Houston Texas U.S.,//en.m.wikipedia.org/wiki/Mattress_Firm
2452,Spansion,Sunnyvale  California United States,//en.m.wikipedia.org/wiki/Spansion
2453,Submarina,San Diego  California,//en.m.wikipedia.org/wiki/Submarina
2454,Sun Microsystems,Santa Clara  California,//en.m.wikipedia.org/wiki/Sun_Microsystems
2455,Unified Grocers,Santa Clara  California,//en.m.wikipedia.org/wiki/Unified_Grocers
2456,SwoopThat.com,San Diego,/w/index.php?title=SwoopThat.com&action=edit
2457,SYSTAT (software),San Diego,/w/index.php?title=SYSTAT_(software)&action=edit
2458,Verisign,Reston  Virginia,//en.m.wikipedia.org/wiki/Verisign
2459,MUFG Union Bank,1251 Avenue of the Americas New York City United States,//en.m.wikipedia.org/wiki/MUFG_Union_Bank
2460,URS Corporation,Transamerica Pyramid San Francisco California United States,//en.m.wikipedia.org/wiki/URS_Corporation
2461,Virgin America,Transamerica Pyramid San Francisco California United States,//en.m.wikipedia.org/wiki/Virgin_America
2462,Waste Connections,The Woodlands  Texas,//en.m.wikipedia.org/wiki/Waste_Connections
2463,Vigor Gaming,City of Industry California,//en.m.wikipedia.org/wiki/Vigor_Gaming
2464,West Coast Choppers,Austin  Texas,//en.m.wikipedia.org/wiki/West_Coast_Choppers
2465,XCOR Aerospace,Mojave Air and Space Port Mojave  California,//en.m.wikipedia.org/wiki/XCOR_Aerospace
2466,Abdallah Candies,Apple Valley  Minnesota,//en.m.wikipedia.org/wiki/Abdallah_Candies
2467,Acorn Stores,Minneapolis Minnesota,//en.m.wikipedia.org/wiki/Acorn_Stores
2468,3M,Maplewood  Minnesota,//en.m.wikipedia.org/wiki/3M
2469,ADC Telecommunications,Harrisburg  Pennsylvania  USA,//en.m.wikipedia.org/wiki/ADC_Telecommunications
2470,Allina Health,Midtown Exchange Minneapolis Minnesota,//en.m.wikipedia.org/wiki/Allina_Health
2471,AmeriPride Services,Minnetonka  Minnesota,//en.m.wikipedia.org/wiki/AmeriPride_Services
2472,Anytime Fitness,Woodbury Minnesota United States,//en.m.wikipedia.org/wiki/Anytime_Fitness
2473,Ameriprise Financial,Ameriprise Financial Center,//en.m.wikipedia.org/wiki/Ameriprise_Financial
2474,Andersen Corporation,Bayport  Minnesota United States,//en.m.wikipedia.org/wiki/Andersen_Corporation
2475,Aveda,Minneapolis,//en.m.wikipedia.org/wiki/Aveda
2476,ATS Medical,Minneapolis  Minnesota,//en.m.wikipedia.org/wiki/ATS_Medical
2477,Arctic Cat,Thief River Falls  Minnesota,//en.m.wikipedia.org/wiki/Arctic_Cat
2478,Ballistic Recovery Systems,St. Paul  Minnesota United States,//en.m.wikipedia.org/wiki/Ballistic_Recovery_Systems
2479,Bemidji Airlines,Bemidji Minnesota USA,//en.m.wikipedia.org/wiki/Bemidji_Airlines
2480,Bellisio Foods,Minneapolis,//en.m.wikipedia.org/wiki/Bellisio_Foods
2481,C. H. Robinson,Eden Prairie Minnesota U.S.,//en.m.wikipedia.org/wiki/C._H._Robinson
2482,Bemidji Woolen Mills,Eden Prairie Minnesota U.S.,//en.m.wikipedia.org/wiki/Bemidji_Woolen_Mills
2483,Best Buy,Richfield  Minnesota,//en.m.wikipedia.org/wiki/Best_Buy
2484,Cargill,Minnetonka Minnesota,//en.m.wikipedia.org/wiki/Cargill
2485,Cambria (company),Le Sueur Minnesota USA,//en.m.wikipedia.org/wiki/Cambria_(company)
2486,Canterbury Park,Le Sueur Minnesota USA,//en.m.wikipedia.org/wiki/Canterbury_Park
2487,Ceridian,Minneapolis  Minnesota,//en.m.wikipedia.org/wiki/Ceridian
2488,Caribou Coffee,Brooklyn Center Minnesota U.S.,//en.m.wikipedia.org/wiki/Caribou_Coffee
2489,Carlson (company),Minnetonka  Minnesota,//en.m.wikipedia.org/wiki/Carlson_(company)
2490,Christopher & Banks,Plymouth  Minnesota,//en.m.wikipedia.org/wiki/Christopher_%26_Banks
2491,Champion Air,Minneapolis-Saint Paul International Airport,//en.m.wikipedia.org/wiki/Champion_Air
2492,Chase Bliss Audio,Anoka  Minnesota,//en.m.wikipedia.org/wiki/Chase_Bliss_Audio
2493,CodeWeavers,Saint Paul  Minnesota United States,//en.m.wikipedia.org/wiki/CodeWeavers
2494,CHS Inc.,Inver Grove Heights Minnesota United States,//en.m.wikipedia.org/wiki/CHS_Inc.
2495,Cirrus Aircraft,Duluth  Minnesota,//en.m.wikipedia.org/wiki/Cirrus_Aircraft
2496,Dairy Queen,Bloomington  Minnesota,//en.m.wikipedia.org/wiki/Dairy_Queen
2497,Control Data Corporation,Bloomington  Minnesota,//en.m.wikipedia.org/wiki/Control_Data_Corporation
2498,Cub (supermarket),Stillwater  Minnesota,//en.m.wikipedia.org/wiki/Cub_(supermarket)
2499,Deluxe Corporation,digital marketing,//en.m.wikipedia.org/wiki/Deluxe_Corporation
2500,Entrust,United States,//en.m.wikipedia.org/wiki/Entrust#Datacard_Group
2501,Dayton's,Minneapolis Minnesota,//en.m.wikipedia.org/wiki/Dayton%27s
2502,Digi-Key,Thief River Falls Minnesota United States,//en.m.wikipedia.org/wiki/Digi-Key
2503,Department 56,Eden Prairie  Minnesota,//en.m.wikipedia.org/wiki/Department_56
2504,Digi International,United States,//en.m.wikipedia.org/wiki/Digi_International
2505,Duluth Pack (company),United States,//en.m.wikipedia.org/wiki/Duluth_Pack_(company)
2506,Digital River,Minnetonka  Minnesota U.S.,//en.m.wikipedia.org/wiki/Digital_River
2507,Donaldson Company,Bloomington  Minnesota,//en.m.wikipedia.org/wiki/Donaldson_Company
2508,Edina Realty,Bloomington  Minnesota,//en.m.wikipedia.org/wiki/Edina_Realty
2509,Ecolab,Saint Paul  Minnesota,//en.m.wikipedia.org/wiki/Ecolab
2510,Econofoods,Saint Paul  Minnesota,//en.m.wikipedia.org/wiki/Econofoods
2511,Fantasy Flight Games,Roseville  Minnesota,//en.m.wikipedia.org/wiki/Fantasy_Flight_Games
2512,Endeavor Air,Minneapolis  Minnesota,//en.m.wikipedia.org/wiki/Endeavor_Air
2513,Famous Dave's,Minnetonka  Minnesota,//en.m.wikipedia.org/wiki/Famous_Dave%27s
2514,Federated Mutual Insurance Company,Minnetonka  Minnesota,//en.m.wikipedia.org/wiki/Federated_Mutual_Insurance_Company
2515,Faribault Woolen Mill Company,Minnetonka  Minnesota,//en.m.wikipedia.org/wiki/Faribault_Woolen_Mill_Company
2516,Farley's & Sathers Candy Company,Minnetonka  Minnesota,//en.m.wikipedia.org/wiki/Farley%27s_%26_Sathers_Candy_Company
2517,General Mills,Golden Valley  Minnesota,//en.m.wikipedia.org/wiki/General_Mills
2518,FICO,Bozeman  Montana,//en.m.wikipedia.org/wiki/FICO
2519,Geek Squad,Richfield  Minnesota,//en.m.wikipedia.org/wiki/Geek_Squad
2520,Grand Casinos,Minnesota USA,//en.m.wikipedia.org/wiki/Grand_Casinos
2521,GlassBridge Enterprises,Oakdale  Minnesota,//en.m.wikipedia.org/wiki/GlassBridge_Enterprises
2522,Graco (fluid handling),Northeast  Minneapolis,//en.m.wikipedia.org/wiki/Graco_(fluid_handling)
2523,Great Clips,Bloomington  Minnesota,//en.m.wikipedia.org/wiki/Great_Clips
2524,Green Giant,Bloomington  Minnesota,//en.m.wikipedia.org/wiki/Green_Giant
2525,Greyhound Lines,350 North Saint Paul Street Dallas,//en.m.wikipedia.org/wiki/Greyhound_Lines
2526,HealthEast Care System,St. Paul Minnesota,//en.m.wikipedia.org/wiki/HealthEast_Care_System
2527,Griswold Signal Company,Minneapolis U.S.,//en.m.wikipedia.org/wiki/Griswold_Signal_Company
2528,Hazelden Foundation,Center City  Minnesota,//en.m.wikipedia.org/wiki/Hazelden_Foundation
2529,HealthPartners,Bloomington Minnesota,//en.m.wikipedia.org/wiki/HealthPartners
2530,Holiday Stationstores,Bloomington  Minnesota,//en.m.wikipedia.org/wiki/Holiday_Stationstores
2531,Hennepin County Medical Center,Bloomington  Minnesota,//en.m.wikipedia.org/wiki/Hennepin_County_Medical_Center
2532,Horton Holding,Bloomington  Minnesota,//en.m.wikipedia.org/wiki/Horton_Holding
2533,Hutchinson Technology,Bloomington  Minnesota,//en.m.wikipedia.org/wiki/Hutchinson_Technology
2534,Hormel Foods,Austin  Minnesota,//en.m.wikipedia.org/wiki/Hormel_Foods
2535,Jefferson Lines,Minneapolis Minnesota,//en.m.wikipedia.org/wiki/Jefferson_Lines
2536,IMRIS,Minnetonka Minnesota,//en.m.wikipedia.org/wiki/IMRIS
2537,Jamf,Minneapolis Minnesota,//en.m.wikipedia.org/wiki/Jamf
2538,Land O'Lakes,Arden Hills  Minnesota,//en.m.wikipedia.org/wiki/Land_O%27Lakes
2539,Johnson Boat Works,Arden Hills  Minnesota,//en.m.wikipedia.org/wiki/Johnson_Boat_Works
2540,Jostens,Minneapolis Minnesota United States,//en.m.wikipedia.org/wiki/Jostens
2541,Infor,New York City,//en.m.wikipedia.org/wiki/Infor
2542,Lunds & Byerlys,Edina Minnesota,//en.m.wikipedia.org/wiki/Lunds_%26_Byerlys
